fighter_name,has_ufc_stats_url,ufc_stats_url
Elise Reed,True,http://ufcstats.com/fighter-details/ac7c765882f2c68c
Elisha Ellison,True,http://ufcstats.com/fighter-details/87e4a3a5080ee7ce
Elizeu Zaleski dos Santos,True,http://ufcstats.com/fighter-details/8adcbd525fab8d9b
Elves Brener,True,http://ufcstats.com/fighter-details/48a9a128784d53d1
Emily Ducote,True,http://ufcstats.com/fighter-details/02f8fedc18cbd26c
Eric McConico,True,http://ufcstats.com/fighter-details/9508cc6184cb2450
Eric Nolan,True,http://ufcstats.com/fighter-details/64b12fe31be7560c
Erick Gonzalez,True,http://ufcstats.com/fighter-details/a2ccf35a88346a91
Erik Silva,True,http://ufcstats.com/fighter-details/21b813b919776d90
Erin Blanchfield,True,http://ufcstats.com/fighter-details/669970f7feba8ecd
Ernesta Kareckaite,True,http://ufcstats.com/fighter-details/e4faa79383c9f214
Eryk Anders,True,http://ufcstats.com/fighter-details/cad24459b28592ca
Esteban Ribovics,True,http://ufcstats.com/fighter-details/323d4ca260dfa0ba
Ethyn Ewing,True,http://ufcstats.com/fighter-details/d776b5814f2400b4
Evan Elder,True,http://ufcstats.com/fighter-details/d9a56ecb6e94f02e
Fares Ziam,True,http://ufcstats.com/fighter-details/1e4f273069fb9e85
Farid Basharat,True,http://ufcstats.com/fighter-details/a09ed60aa67a3f67
Fatima Kline,True,http://ufcstats.com/fighter-details/745fa7b605f8e2da
Felipe Bunes,True,http://ufcstats.com/fighter-details/53c10176e3bc7416
Felipe Franco,True,http://ufcstats.com/fighter-details/e564146b9cf6dbef
Felipe Lima,True,http://ufcstats.com/fighter-details/9256f591b30c073e
Felipe dos Santos,True,http://ufcstats.com/fighter-details/5cdf5339728f580d
Feng Xiaocan,True,http://ufcstats.com/fighter-details/c940b42df95bbd28
Fernando Padilla,True,http://ufcstats.com/fighter-details/d2f43cfaf8ca3560
Fernie Garcia,True,http://ufcstats.com/fighter-details/9e92e1ca498d7244
Francis Marshall,True,http://ufcstats.com/fighter-details/5d495dec23d7c68e
Francisco Prado,True,http://ufcstats.com/fighter-details/3920d0cc288f9b0d
Gabe Green,True,http://ufcstats.com/fighter-details/5eb50529a8418b77
Gabriel Benitez,True,http://ufcstats.com/fighter-details/436f970c9ea9169c
Gabriel Bonfim,True,http://ufcstats.com/fighter-details/01641ba5df0c69b0
Gabriel Miranda,True,http://ufcstats.com/fighter-details/b909a9a9688b5284
Gabriel Santos,True,http://ufcstats.com/fighter-details/f2f140ce7532e327
Gabriella Fernandes,True,http://ufcstats.com/fighter-details/a6eb54ae17a551be
Garrett Armfield,True,http://ufcstats.com/fighter-details/1effd880e1f1bb30
Gaston Bolanos,True,http://ufcstats.com/fighter-details/96924b0019b3aff1
Gauge Young,True,http://ufcstats.com/fighter-details/b2a78df161bd67f9
Gavin Tucker,True,http://ufcstats.com/fighter-details/da816417a579a0bd
Genaro Valdez,True,http://ufcstats.com/fighter-details/cda1099995b46cc2
Geoff Neal,True,http://ufcstats.com/fighter-details/b997be68943010fc
Gerald Meerschaert,True,http://ufcstats.com/fighter-details/6ac9bc2953c47345
Germaine de Randamie,True,http://ufcstats.com/fighter-details/1d239d571e342453
Gianni Vazquez,True,http://ufcstats.com/fighter-details/51ec9dc3b4964f19
Giga Chikadze,True,http://ufcstats.com/fighter-details/9560ff14eb3129f7
Gilbert Burns,True,http://ufcstats.com/fighter-details/23024fdfc966410a
Gilbert Urbina,True,http://ufcstats.com/fighter-details/b12fb759e02378de
Gillian Robertson,True,http://ufcstats.com/fighter-details/38c7f72747f4f712
Glover Teixeira,True,http://ufcstats.com/fighter-details/7ff97850e8c32bda
